115: vertex_id[2173] = { stop( Mokhovaya ul 40 ), bus( 9k), pos( 23 ) }
116: vertex_id[2630] = { stop( Mokhovaya ul 40 ), bus( 45k), pos( 21 ) }
117: vertex_id[2593] = { stop( Mokhovaya ul 40 ), bus( 15), pos( 10 ) }
118: vertex_id[2494] = { stop( Mokhovaya ul 40 ), bus( 37k), pos( 24 ) }
119: vertex_id[2353] = { stop( Mokhovaya ul 40 ), bus( 13), pos( 16 ) }
120: vertex_id[2870] = { stop( Kiyevskoye sh 20 ), bus( 51k), pos( 1 ) }
121: vertex_id[2780] = { stop( Kiyevskoye sh 20 ), bus( 59), pos( 2 ) }
122: vertex_id[297] = { stop( Kiyevskoye sh 20 ), bus( 95), pos( 2 ) }
123: vertex_id[693] = { stop( Kiyevskoye sh 20 ), bus( 63), pos( 2 ) }
124: vertex_id[1884] = { stop( Kiyevskoye sh 20 ), bus( 83k), pos( 1 ) }
125: vertex_id[1295] = { stop( Kiyevskoye sh 20 ), bus( 39k), pos( 2 ) }
126: vertex_id[1591] = { stop( Kiyevskoye sh 20 ), bus( 23k), pos( 1 ) }
127: vertex_id[1333] = { stop( Kiyevskoye sh 20 ), bus( 1), pos( 1 ) }
128: vertex_id[1545] = { stop( Kiyevskoye sh 20 ), bus( 41), pos( 1 ) }
129: vertex_id[2472] = { stop( Kiyevskoye sh 20 ), bus( 37k), pos( 2 ) }
130: vertex_id[2338] = { stop( Kiyevskoye sh 20 ), bus( 13), pos( 1 ) }
131: vertex_id[1194] = { stop( Kiyevskoye sh 20 ), bus( 3k), pos( 2 ) }
132: vertex_id[1681] = { stop( Kiyevskoye sh 20 ), bus( 17), pos( 2 ) }
133: vertex_id[2152] = { stop( Kiyevskoye sh 20 ), bus( 9k), pos( 2 ) }
134: vertex_id[2249] = { stop( Kiyevskoye sh 20 ), bus( 33k), pos( 1 ) }
135: vertex_id[2435] = { stop( Kiyevskoye sh 20 ), bus( 35), pos( 2 ) }
136: vertex_id[2945] = { stop( Pr Vernadskogo 70 ), bus( 54), pos( 2 ) }
137: vertex_id[2716] = { stop( Pr Vernadskogo 70 ), bus( 58), pos( 7 ) }
138: vertex_id[2408] = { stop( Pr Vernadskogo 70 ), bus( 8), pos( 5 ) }
139: vertex_id[2296] = { stop( Pr Vernadskogo 70 ), bus( 68k), pos( 8 ) }
140: vertex_id[2115] = { stop( Pr Vernadskogo 70 ), bus( 18), pos( 6 ) }
141: vertex_id[2059] = { stop( Pr Vernadskogo 70 ), bus( 12), pos( 8 ) }
142: vertex_id[1797] = { stop( Pr Vernadskogo 70 ), bus( 4), pos( 3 ) }
143: vertex_id[1502] = { stop( Pr Vernadskogo 70 ), bus( 28), pos( 8 ) }
144: vertex_id[258] = { stop( Pr Vernadskogo 70 ), bus( 100k), pos( 8 ) }
145: vertex_id[408] = { stop( Pr Vernadskogo 70 ), bus( 76k), pos( 7 ) }
146: vertex_id[578] = { stop( Pr Vernadskogo 70 ), bus( 72k), pos( 8 ) }
147: vertex_id[748] = { stop( Pr Vernadskogo 70 ), bus( 62), pos( 8 ) }
148: vertex_id[1249] = { stop( Pr Vernadskogo 70 ), bus( 46k), pos( 8 ) }
149: vertex_id[789] = { stop( Pr Vernadskogo 70 ), bus( 60), pos( 5 ) }
150: vertex_id[2203] = { stop( Pr Vernadskogo 70 ), bus( 64k), pos( 3 ) }
151: vertex_id[1070] = { stop( Pr Vernadskogo 70 ), bus( 14), pos( 6 ) }
152: vertex_id[1108] = { stop( Pr Vernadskogo 70 ), bus( 34), pos( 8 ) }
153: vertex_id[1737] = { stop( Pr Vernadskogo 70 ), bus( 38k), pos( 6 ) }
154: vertex_id[855] = { stop( Pr Vernadskogo 70 ), bus( 52), pos( 8 ) }
155: vertex_id[2671] = { stop( Pr Vernadskogo 70 ), bus( 30), pos( 6 ) }
156: vertex_id[979] = { stop( Pr Vernadskogo 70 ), bus( 32), pos( 6 ) }
157: vertex_id[1024] = { stop( Pr Vernadskogo 70 ), bus( 56k), pos( 8 ) }
158: vertex_id[1814] = { stop( Pr Vernadskogo 70 ), bus( 98), pos( 4 ) }
159: vertex_id[1386] = { stop( Pr Vernadskogo 70 ), bus( 2k), pos( 3 ) }
160: vertex_id[1637] = { stop( Pr Vernadskogo 70 ), bus( 48k), pos( 8 ) }
161: vertex_id[1407] = { stop( Pr Vernadskogo 70 ), bus( 74k), pos( 8 ) }
162: vertex_id[2957] = { stop( Tverskaya ul 60 ), bus( 54), pos( 14 ) }
163: vertex_id[2735] = { stop( Tverskaya ul 60 ), bus( 58), pos( 26 ) }
164: vertex_id[2421] = { stop( Tverskaya ul 60 ), bus( 8), pos( 18 ) }
165: vertex_id[1826] = { stop( Tverskaya ul 60 ), bus( 98), pos( 16 ) }
166: vertex_id[1945] = { stop( Tverskaya ul 60 ), bus( 90k), pos( 20 ) }
167: vertex_id[1525] = { stop( Tverskaya ul 60 ), bus( 28), pos( 31 ) }
168: vertex_id[1660] = { stop( Tverskaya ul 60 ), bus( 48k), pos( 31 ) }
169: vertex_id[1430] = { stop( Tverskaya ul 60 ), bus( 74k), pos( 31 ) }
170: vertex_id[374] = { stop( Tverskaya ul 60 ), bus( 78k), pos( 13 ) }
171: vertex_id[430] = { stop( Tverskaya ul 60 ), bus( 76k), pos( 29 ) }
172: vertex_id[594] = { stop( Tverskaya ul 60 ), bus( 72k), pos( 24 ) }
173: vertex_id[769] = { stop( Tverskaya ul 60 ), bus( 62), pos( 29 ) }
174: vertex_id[2390] = { stop( Tverskaya ul 60 ), bus( 70k), pos( 20 ) }
175: vertex_id[1266] = { stop( Tverskaya ul 60 ), bus( 46k), pos( 25 ) }
176: vertex_id[805] = { stop( Tverskaya ul 60 ), bus( 60), pos( 21 ) }
177: vertex_id[207] = { stop( Tverskaya ul 60 ), bus( 84k), pos( 17 ) }
178: vertex_id[1130] = { stop( Tverskaya ul 60 ), bus( 34), pos( 30 ) }
179: vertex_id[2080] = { stop( Tverskaya ul 60 ), bus( 12), pos( 29 ) }
180: vertex_id[826] = { stop( Tverskaya ul 60 ), bus( 22k), pos( 9 ) }
181: vertex_id[1046] = { stop( Tverskaya ul 60 ), bus( 56k), pos( 30 ) }
182: vertex_id[1758] = { stop( Tverskaya ul 60 ), bus( 38k), pos( 27 ) }
183: vertex_id[874] = { stop( Tverskaya ul 60 ), bus( 52), pos( 27 ) }
184: vertex_id[934] = { stop( Tverskaya ul 60 ), bus( 16k), pos( 20 ) }
185: vertex_id[2692] = { stop( Tverskaya ul 60 ), bus( 30), pos( 27 ) }
186: vertex_id[998] = { stop( Tverskaya ul 60 ), bus( 32), pos( 25 ) }
187: vertex_id[2133] = { stop( Tverskaya ul 60 ), bus( 18), pos( 24 ) }
188: vertex_id[1165] = { stop( Tverskaya ul 60 ), bus( 80k), pos( 16 ) }
189: vertex_id[2741] = { stop( Leningradskoye sh 10 ), bus( 58), pos( 32 ) }
190: vertex_id[2538] = { stop( Leningradskoye sh 10 ), bus( 40k), pos( 23 ) }
191: vertex_id[2425] = { stop( Leningradskoye sh 10 ), bus( 8), pos( 22 ) }
192: vertex_id[2325] = { stop( Leningradskoye sh 10 ), bus( 68k), pos( 37 ) }
193: vertex_id[2139] = { stop( Leningradskoye sh 10 ), bus( 18), pos( 30 ) }
194: vertex_id[2087] = { stop( Leningradskoye sh 10 ), bus( 12), pos( 36 ) }
195: vertex_id[1951] = { stop( Leningradskoye sh 10 ), bus( 90k), pos( 26 ) }
196: vertex_id[1532] = { stop( Leningradskoye sh 10 ), bus( 28), pos( 38 ) }
197: vertex_id[1667] = { stop( Leningradskoye sh 10 ), bus( 48k), pos( 38 ) }
198: vertex_id[1437] = { stop( Leningradskoye sh 10 ), bus( 74k), pos( 38 ) }
199: vertex_id[1830] = { stop( Leningradskoye sh 10 ), bus( 98), pos( 20 ) }
200: vertex_id[1377] = { stop( Leningradskoye sh 10 ), bus( 36), pos( 20 ) }
201: vertex_id[187] = { stop( Leningradskoye sh 10 ), bus( 86k), pos( 11 ) }
202: vertex_id[599] = { stop( Leningradskoye sh 10 ), bus( 72k), pos( 29 ) }
203: vertex_id[640] = { stop( Leningradskoye sh 10 ), bus( 94k), pos( 11 ) }
204: vertex_id[285] = { stop( Leningradskoye sh 10 ), bus( 100k), pos( 35 ) }
205: vertex_id[966] = { stop( Leningradskoye sh 10 ), bus( 26), pos( 17 ) }
206: vertex_id[774] = { stop( Leningradskoye sh 10 ), bus( 62), pos( 34 ) }
207: vertex_id[810] = { stop( Leningradskoye sh 10 ), bus( 60), pos( 26 ) }
208: vertex_id[1137] = { stop( Leningradskoye sh 10 ), bus( 34), pos( 37 ) }
209: vertex_id[880] = { stop( Leningradskoye sh 10 ), bus( 52), pos( 33 ) }
210: vertex_id[622] = { stop( Leningradskoye sh 10 ), bus( 66), pos( 15 ) }
211: vertex_id[940] = { stop( Leningradskoye sh 10 ), bus( 16k), pos( 26 ) }
212: vertex_id[2699] = { stop( Leningradskoye sh 10 ), bus( 30), pos( 34 ) }
213: vertex_id[1004] = { stop( Leningradskoye sh 10 ), bus( 32), pos( 31 ) }
214: vertex_id[1053] = { stop( Leningradskoye sh 10 ), bus( 56k), pos( 37 ) }
215: vertex_id[2733] = { stop( Tverskaya ul 30 ), bus( 58), pos( 24 ) }
216: vertex_id[2689] = { stop( Tverskaya ul 30 ), bus( 30), pos( 24 ) }
217: vertex_id[2531] = { stop( Tverskaya ul 30 ), bus( 40k), pos( 16 ) }
218: vertex_id[2420] = { stop( Tverskaya ul 30 ), bus( 8), pos( 17 ) }
219: vertex_id[2387] = { stop( Tverskaya ul 30 ), bus( 70k), pos( 17 ) }
220: vertex_id[2316] = { stop( Tverskaya ul 30 ), bus( 68k), pos( 28 ) }
221: vertex_id[2077] = { stop( Tverskaya ul 30 ), bus( 12), pos( 26 ) }
